Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Sentiment,Pros,Cons,Liked_Features,Disliked_Features
 on 07/22/10 15:00 PM (PDT),Max Lives ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),Max Lives," I purchased this Horsey in memory of my dad, Max M. Kruger a design engineer and an original member of the Mustang design team under Lee Iaccoca at Ford.  Compared to my 2 previous '73 Mach I joys, this Steed is more stealthy, has greater visibility and obviously more technologically refined. Had only one real issue with her.  The trip meter occasionally zero's itself even after extensive dealer repairs and tech help from Ford. Yes a few rattles. Also needed a new battery due to Florida heat. Got a set of General Ulimax HP tires and they are the best I ever owned. I'm not sure which I like better, watching my wife drive off in her, me driving us, or just looking at her.  Max Lives!",4.625,Neutral,None mentioned,None mentioned,[],[]
 on 06/19/10 10:05 AM (PDT),kells ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),"Great car, couple of issues"," Dash board rattles, dealer couldn't fix it, filed lemon law got $2000 from Ford. Brake pads & rotors went at 12,000 miles witch is unheard of, $600- $800 job. Replaced bat after 3 yrs which is norm. Replaced fuel filter which is recommended. Rear brake bulbs have been replaced about 4 times (easy to do yourself though) other then that nothing major has gone wrong. I drive 12,000 a year, some highway road trips and still drives great.",4.375,Negative,"drives great, no major issues beyond the listed problems","dashboard rattles, dealer unable to fix the rattle, lemon law claim and $2,000 payout, brake pads and rotors failed at 12,000 miles, repair cost of $600–$800 for brakes, battery replaced after 3 years, fuel filter replacement, rear brake bulbs replaced about four times","['overall driving performance', 'general reliability (no major failures)']","['dashboard rattling', 'early brake wear', 'short battery life', 'frequent fuel filter changes', 'frequent brake bulb replacements', 'poor dealer service']"
 on 06/11/10 17:13 PM (PDT),DLJ ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),Only a few minior issues," I drive very little (about 5k miles per year), but when I do i like to wring it out around town, on the highway, and twisty back-country roads.  This car handles them all very well.  Haven't had any real issues, and have kept up with scheduled maintenance.  I did have a transmission pan leak which was repaired by a dealer; a few months later it was leaking again and the dealer fixed it again (free as was still under warr. then).  I have an extended warranty for peace of mind but don't anticipate needing it.  There has always been a little squeak near the gauge cluster, which I meant to get fixed but it hasn't bothered me enough to do so.",4.375,Positive,"Excellent handling on town, highway, and twisty back‑country roads, No real issues reported, Regular maintenance kept the vehicle in good shape, Free repairs under warranty for the transmission leak","Transmission pan leak that required two repairs, Persistent squeak near the gauge cluster","['Handling', 'Reliability', 'Maintenance']","['Transmission leak', 'Squeak']"
 on 04/28/10 06:15 AM (PDT),Carl ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),It is what it is," This was my first new car purchase and I really liked it at first....Untill everyone in Oklahoma city bought one. Atleast there will be pleanty around to pull parts of in the salvage yard. Guys and gals, this car is what it is plus a tiny, tiny bit more..... It's a (new) $20,000 sports car. I do actually love mine and it runs great but I can see it going to pieces not too far down the road. It's starting to rattle a little much and the two ""subs"" in the door aren't subs.... Subs are made to play mounted in a box, not mounted in a door but hats off to ford for at least trying to be hip. ",3.75,Neutral,None mentioned,None mentioned,[],[]
 on 04/19/10 01:31 AM (PDT),shibemw ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Lemon Mustang, Nice styling car and fun to drive when it is not heading back to dealership for unending mystery electrical problems.  I have had to many problems with this car to ever want another sports car again.  Couple that with a dealership that wants to nickel and dime you on warranty work makes for bad Ford business.  Not a practical car to own in the winter time in Colorado Springs.    ,4.0,Negative,"Nice styling, Fun to drive","Unending mystery electrical problems, Dealership wants to nickel and dime on warranty work, Not a practical car to own in winter in Colorado Springs","['Styling', 'Driving experience']","['Electrical reliability', 'Dealership service costs', 'Winter practicality']"
 on 03/01/10 18:21 PM (PST),DuaneW ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),So so....," I was exceptionally impressed with the down and dirty V6.  The Chevy Monte Carlo LT and SS Intimidator have nothing on the 4.0 stock!! I bought an 06 5-speed Pony Edition before I went to college.  It's about 8 months later and the throttle body is havin issues, killing the car about every 30 miles.  The clutch is slipping already, not impressed with that.  The Shaker 500 is really nice, don't crank it too loud though.  The amp for the stereo runs down the factory battery like no other.  It's reliable as heck until the engine starts acting up.  Had the system checked, so I know its the throttle body.  For a car that is four years old, the clutch and induction should not be having trouble.",4.75,Neutral,None mentioned,None mentioned,[],[]
 on 02/24/10 20:54 PM (PST),Ted ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Great looking car," I purchased the Mustang new with every option you could get on the V6 Premium Cpe including ""Pony Package"".  It's the first American car I've bought in 20 years.  Great looking car with a very stiff ride and lots of rattles.  At 30k service, it needed an Alternator and a battery. All things considered, I like the car sans the rattles which the dealer has been unable to fix.  I have a 20 year old toyota with out any rattles!",4.0,Neutral,"Great looking car, Many options available (including the Pony Package), First American car purchased in 20 years","Very stiff ride, Lots of rattles, Alternator and battery needed at 30,000 miles, Dealer unable to fix rattles","['Styling', 'Option package selection']","['Ride comfort (stiffness)', 'Rattles', 'Early electrical component failure']"
 on 01/18/10 08:51 AM (PST),ilcoolj ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),"Worst Mustang ever, Don't buy Ford !!!"," 09/23/06 I financed a '06 Mustang GT, my 1st new car. Previously my family and I have had about 10 Fords. after 6 mos. the car stalled out, I didnt think anything of it. In'07 the problem became more noticeable I also had the battery replace twice. The alternator and L/F headlight (water). In'08 the problem became more frequent stalling between 30-40mph. The dealer couldnt find thr problem after frequent visits. In Feb.'09 I was going to trade it in for a used '08 Shelby GT500. The deal fell apart when the belt kept tearing. Took it to another dealer and was told crank was bad, waited 2 mos. to have engine rebuilt. called cust.service they're very nasty. Lemon law,govt agencies,legal no help",3.375,Neutral,None mentioned,None mentioned,[],[]
 on 11/28/09 19:36 PM (PST),StangGirl731 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),My 1st Stang !," This car is a blast. I purchased my 06' Performance White GT Premium about 4 months ago. It drives like a dream, its everything I ever imagined. I wanted one since the day it came out and I'm not sorry for the purchase. I get a lot of compliments. So far I have not had any problems what so ever. I have taken it to the Ford dealership I purchased it from for oil changes and everytime so far everything has been 100%",4.875,Positive,"drives like a dream, everything I ever imagined, not sorry for the purchase, gets a lot of compliments, no problems so far, oil changes 100%",None mentioned,"['performance', 'appearance', 'reliability']",[]
 on 11/12/09 08:34 AM (PST),stevie ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),great car bad battery and window system, I love to drive the car and to look at the car.  I have had problems with the battery draining.  I've jumped it 5 times.  I've also had problems with the driver side window.  I had to take it to the dealership 2 times for the same issue.  The 3rd time it was out of warranty and the dealership didn't want to take ownership of the problem.,4.5,Neutral,None mentioned,None mentioned,[],[]
 on 09/23/09 09:09 AM (PDT),ChristaK ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Great Car, It's noisy. It rides rough.  It's uncomfortable on long trips.  It's great on gas. It looks great.  It has not let me down.  I wouldn't trade it for another.....Unless it was a newer one.  This is my second one. It's all mine.  And it's payed off!,4.625,Positive,"Great fuel economy, Good styling, Reliable performance (has not let me down), Owner satisfaction (wouldn't trade it for another)","Noisy, Rough ride, Uncomfortable on long trips","['Fuel efficiency', 'Exterior styling', 'Reliability']","['Engine/vehicle noise', 'Ride comfort', 'Long‑trip comfort']"
 on 08/16/09 21:41 PM (PDT),MustangKenny ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Dreams are well worth working for!," I've always wanted a V8 Mustang since my dad showed me a certain Steve McQueen movie called Bullitt, I just loved the styling and ferocity of McQueen's highland green '68 fastback GT. Nothing else was cooler.  Then Ford released the '05 model, now that's a Mustang! Well in a nutshell I found a tungsten grey '06 GT auto with 7k on it and bought it. Best decision ever. I love this V8! It's fast and it sounds great, though mine now sports a cold air intake and Pypes Violator exhaust and it turns heads with it's loud rumble.  Also this car is built extremely well. 31k on it and not even a rattle, not a problem. This is one I WILL NOT BE TRADING IN!",4.625,Positive,"Fast performance, Great engine sound, Excellent build quality, Low mileage (31k), No rattles or mechanical issues, Affordable price (7k), Stylish design",None mentioned,"['V8 engine', 'Cold air intake', 'Pypes Violator exhaust', 'Styling', 'Sound', 'Build quality']",[]
